#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-12-19,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2020-12-19,23:36:11
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
838.4,1.2,9.6,94.4,69.0,7.8,1683.1
837.8,1.2,9.5,94.6,69.8,7.8,1688.2
837.3,1.2,9.5,94.7,70.6,7.7,1693.5
836.8,1.2,9.5,94.5,71.5,7.6,1698.9
836.3,1.2,9.6,93.9,72.3,7.5,1704.4
835.6,1.2,9.6,93.6,73.2,7.4,1710.1
835.1,1.2,9.6,93.6,74.0,7.3,1715.5
834.6,1.2,9.5,93.7,74.9,7.2,1720.4
834.2,1.2,9.5,93.9,75.7,7.1,1724.5
833.9,1.2,9.5,94.2,76.5,7.0,1728.2
833.5,1.2,9.4,94.2,77.3,6.9,1731.8
833.1,1.2,9.4,94.2,78.1,6.8,1735.5
832.7,1.2,9.4,94.2,78.9,6.7,1739.3
832.3,1.2,9.3,94.3,79.6,6.7,1743.5
831.8,1.2,9.3,94.3,80.3,6.6,1747.9
831.4,1.2,9.2,94.3,80.9,6.5,1752.4
831.0,1.2,9.2,94.4,81.5,6.5,1757.0
830.5,1.2,9.2,94.6,82.1,6.4,1762.0
829.9,1.2,9.1,95.1,82.6,6.4,1767.3
829.3,1.2,9.1,95.8,83.1,6.4,1773.0
828.8,1.2,9.0,96.5,83.6,6.3,1778.6
828.2,1.2,9.0,96.8,84.1,6.3,1784.2
827.7,1.2,8.9,97.0,84.5,6.3,1789.7
827.1,1.2,8.9,97.1,85.0,6.3,1795.3
826.6,1.2,8.8,97.1,85.4,6.3,1800.7
826.1,1.2,8.8,96.8,85.9,6.3,1806.0
825.6,1.2,8.7,96.2,86.4,6.2,1811.2
825.0,1.2,8.7,95.4,86.8,6.2,1816.3
824.5,1.2,8.7,94.8,87.3,6.2,1821.2
824.1,1.2,8.7,94.7,87.8,6.2,1825.7
823.7,1.2,8.6,94.5,88.3,6.2,1829.8
823.3,1.2,8.6,94.4,88.8,6.1,1833.5
823.0,1.2,8.6,94.8,89.3,6.1,1837.1
822.6,1.2,8.5,95.2,89.8,6.1,1840.7
822.2,1.2,8.5,95.3,90.3,6.0,1844.7
821.8,1.2,8.4,95.0,90.9,6.0,1848.9
821.3,1.2,8.4,94.6,91.5,6.0,1853.1
821.0,1.2,8.4,94.4,92.0,5.9,1857.0
820.6,1.2,8.4,94.5,92.6,5.9,1860.8
820.2,1.2,8.4,94.4,93.1,5.9,1864.6
819.9,1.2,8.3,94.5,93.7,5.9,1868.6
819.4,1.2,8.3,94.5,94.2,5.8,1872.9
818.9,1.2,8.3,94.6,94.7,5.8,1877.4
818.5,1.2,8.2,95.0,95.2,5.8,1881.8
818.1,1.2,8.2,95.8,95.7,5.8,1886.0
817.7,1.2,8.2,97.1,96.1,5.8,1890.2
817.3,1.2,8.1,98.1,96.5,5.8,1894.6
816.8,1.2,8.1,98.6,96.9,5.8,1899.1
816.4,1.2,8.1,99.0,97.2,5.8,1903.5
815.9,1.2,8.1,99.2,97.5,5.8,1908.0
815.5,1.2,8.1,99.2,97.7,5.9,1912.4
815.1,1.2,8.1,99.0,97.9,5.9,1916.9
814.6,1.2,8.0,99.0,98.0,5.9,1921.6
814.1,1.2,8.0,99.0,98.0,5.9,1926.4
813.7,1.2,8.0,99.2,98.0,5.9,1930.9
813.3,1.2,7.9,99.4,97.9,5.9,1935.1
812.9,1.2,7.9,99.5,97.7,6.0,1939.3
812.5,1.2,7.9,99.6,97.4,6.0,1943.2
812.1,1.2,7.8,99.8,97.1,6.0,1947.2
811.7,1.2,7.8,100.0,96.6,6.0,1951.3
811.3,1.2,7.8,99.7,96.0,6.0,1955.8
810.8,1.2,7.8,99.3,95.3,5.9,1960.9
810.2,1.2,7.8,99.2,94.4,5.9,1966.1
809.7,1.2,7.7,99.4,93.5,5.9,1971.3
809.2,1.2,7.7,99.7,92.4,5.9,1976.3
808.8,1.2,7.7,99.8,91.2,5.9,1981.2
808.3,1.2,7.6,99.9,89.8,5.9,1985.9
807.8,1.2,7.6,100.0,88.3,5.8,1990.4
807.4,1.2,7.6,99.9,86.7,5.8,1994.6
807.0,1.2,7.6,99.9,85.0,5.8,1998.5
806.7,1.2,7.6,99.9,83.3,5.8,2002.1
806.4,1.2,7.5,99.5,81.4,5.8,2005.8
806.0,1.2,7.5,99.2,79.5,5.8,2010.0
805.5,1.2,7.5,99.3,77.6,5.9,2014.7
805.0,1.2,7.5,99.8,75.7,5.9,2019.7
804.5,1.2,7.5,100.0,73.8,5.9,2024.8
804.0,1.2,7.5,100.0,72.0,6.0,2029.8
803.5,1.2,7.5,100.0,70.3,6.0,2034.6
803.1,1.2,7.5,100.0,68.7,6.1,2039.2
802.7,1.2,7.5,100.0,67.3,6.1,2043.5
802.3,1.2,7.5,100.0,66.0,6.2,2047.7
801.9,1.2,7.4,100.0,64.8,6.2,2052.0
801.4,1.2,7.4,100.0,63.8,6.3,2056.9
