#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-02-07,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT
Name,Model,Number 
ECC,6A,na

#LOCATION
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP
UTCOffset,Date,Time 
+00:00:00,2020-02-07,23:34:29
 
#PROFILE
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
845.2,1.1,12.9,94.9,291.2,6.1,1594.9
844.9,1.1,12.9,95.0,291.4,6.2,1598.0
844.6,1.1,12.9,94.7,291.5,6.3,1601.0
844.3,1.1,12.8,94.4,291.5,6.4,1604.2
843.9,1.1,12.8,94.3,291.5,6.5,1607.6
843.6,1.1,12.8,94.4,291.5,6.6,1611.2
843.2,1.1,12.7,94.6,291.4,6.6,1614.8
842.9,1.0,12.7,94.8,291.2,6.7,1618.3
842.5,1.0,12.7,95.0,291.1,6.7,1621.8
842.2,1.0,12.7,95.1,290.8,6.7,1625.3
841.8,1.0,12.7,95.3,290.6,6.7,1628.8
841.5,1.0,12.6,95.5,290.3,6.7,1632.4
841.1,1.0,12.6,95.6,290.0,6.7,1636.2
840.7,1.0,12.6,95.7,289.7,6.6,1640.4
840.2,1.0,12.6,95.7,289.3,6.6,1645.1
839.7,1.0,12.5,95.3,289.0,6.5,1650.1
839.2,1.0,12.5,94.7,288.7,6.4,1655.0
838.7,1.0,12.4,94.3,288.3,6.4,1659.6
838.3,1.0,12.4,94.4,288.0,6.3,1663.9
837.9,1.0,12.4,94.9,287.7,6.2,1668.0
837.5,1.0,12.3,95.0,287.4,6.1,1672.2
837.1,1.0,12.3,95.4,287.2,6.1,1676.7
836.6,1.0,12.3,96.0,286.9,6.0,1681.5
836.1,1.0,12.2,96.1,286.7,5.9,1686.3
835.6,1.0,12.2,95.7,286.5,5.8,1690.9
835.2,1.0,12.2,95.5,286.4,5.7,1695.3
834.8,1.0,12.2,95.5,286.3,5.7,1699.4
834.4,1.0,12.2,95.5,286.2,5.6,1703.2
834.0,1.0,12.2,94.9,286.2,5.5,1706.8
833.7,1.0,12.2,93.4,286.3,5.5,1710.2
833.4,1.0,12.2,90.5,286.4,5.4,1713.7
833.0,1.0,12.2,85.3,286.6,5.4,1717.4
832.6,1.0,12.1,77.4,286.8,5.3,1721.3
832.2,1.0,12.1,69.9,287.1,5.3,1725.5
831.7,1.0,12.0,65.6,287.5,5.3,1729.9
831.3,1.1,12.0,63.6,288.0,5.3,1734.6
830.8,1.1,11.9,61.3,288.5,5.3,1739.3
830.4,1.1,11.9,59.0,289.0,5.3,1743.8
829.9,1.1,11.8,57.3,289.7,5.3,1748.2
829.5,1.1,11.8,55.3,290.3,5.4,1752.3
829.1,1.2,11.7,51.7,291.0,5.4,1756.3
828.7,1.2,11.7,48.7,291.6,5.4,1760.2
828.3,1.2,11.6,48.3,292.3,5.5,1764.2
827.9,1.3,11.6,48.9,293.0,5.6,1768.3
827.5,1.3,11.5,48.6,293.6,5.7,1772.5
827.1,1.3,11.5,47.6,294.2,5.7,1776.6
826.7,1.4,11.4,46.3,294.7,5.8,1780.6
826.3,1.4,11.4,45.6,295.1,5.9,1784.5
825.9,1.4,11.4,48.0,295.4,6.1,1788.5
825.5,1.5,11.3,55.4,295.6,6.2,1792.5
825.1,1.5,11.3,66.9,295.7,6.3,1796.4
824.7,1.5,11.3,74.7,295.7,6.4,1800.2
824.4,1.6,11.4,75.1,295.6,6.6,1803.9
824.0,1.6,11.4,73.2,295.3,6.7,1807.4
823.7,1.6,11.4,74.0,294.9,6.8,1811.0
823.3,1.6,11.5,75.2,294.4,7.0,1814.7
822.9,1.6,11.5,75.4,293.8,7.1,1818.6
822.6,1.5,11.4,75.3,293.0,7.2,1822.7
822.1,1.5,11.4,75.2,292.2,7.4,1827.2
821.6,1.5,11.4,74.6,291.2,7.5,1832.0
821.1,1.5,11.4,74.7,290.2,7.6,1837.0
820.6,1.5,11.4,75.0,289.1,7.8,1841.9
820.2,1.5,11.4,74.5,287.9,7.9,1846.5
819.8,1.5,11.4,73.5,286.7,8.0,1850.8
819.4,1.5,11.4,72.8,285.5,8.2,1855.0
819.0,1.5,11.4,72.9,284.4,8.3,1859.0
818.6,1.5,11.4,73.3,283.2,8.4,1863.2
818.1,1.5,11.4,73.7,282.1,8.6,1867.6
817.7,1.5,11.4,74.7,281.1,8.7,1872.2
817.2,1.4,11.4,77.2,280.1,8.8,1877.1
816.7,1.4,11.5,81.2,279.1,8.9,1881.9
816.3,1.4,11.6,84.8,278.3,9.0,1886.6
815.8,1.4,11.7,86.7,277.5,9.1,1891.1
815.4,1.4,11.7,85.0,276.8,9.2,1895.2
815.1,1.4,11.7,81.2,276.2,9.3,1899.3
814.7,1.4,11.7,78.1,275.6,9.4,1903.4
814.2,1.4,11.6,75.6,275.2,9.4,1907.6
813.8,1.4,11.5,73.9,274.8,9.5,1912.0
813.4,1.4,11.5,73.6,274.5,9.5,1916.3
813.0,1.4,11.5,74.8,274.3,9.5,1920.5
812.6,1.4,11.6,77.2,274.1,9.6,1924.7
812.2,1.3,11.7,80.0,273.9,9.6,1928.9
811.8,1.3,11.8,82.4,273.8,9.5,1933.0
811.4,1.3,11.9,83.5,273.7,9.5,1937.4
810.9,1.3,11.9,83.1,273.7,9.5,1942.0
810.4,1.3,12.0,82.2,273.6,9.5,1946.7
810.0,1.3,12.0,81.8,273.5,9.4,1951.3
809.6,1.3,12.0,81.8,273.5,9.4,1955.8
809.2,1.3,11.9,82.0,273.4,9.3,1960.1
808.7,1.3,11.9,81.8,273.3,9.2,1964.5
808.3,1.3,11.9,81.3,273.2,9.1,1968.9
807.9,1.3,11.9,81.1,273.1,9.1,1973.3
807.4,1.2,11.9,81.3,273.0,9.0,1977.8
807.0,1.2,11.9,82.1,272.8,8.9,1982.4
806.5,1.2,12.0,83.0,272.7,8.8,1987.4
806.0,1.2,12.0,82.4,272.5,8.7,1992.9
805.4,1.2,12.0,78.7,272.4,8.6,1999.0
804.8,1.2,12.1,71.4,272.3,8.6,2005.4
804.2,1.2,12.1,65.5,272.1,8.5,2011.8
803.6,1.2,12.0,62.8,272.0,8.4,2017.9
803.0,1.2,11.9,61.0,272.0,8.3,2023.3
802.6,1.2,11.9,59.8,272.0,8.2,2028.1
802.2,1.2,12.0,57.1,272.0,8.1,2032.6
801.8,1.2,12.0,53.3,272.1,8.1,2037.1
801.3,1.2,12.0,50.9,272.3,8.0,2041.9
800.8,1.3,12.1,49.5,272.5,7.9,2046.6
800.4,1.3,12.1,48.3,272.8,7.9,2050.8
800.1,1.3,12.1,47.5,273.2,7.8,2054.8
799.7,1.3,12.1,47.4,273.5,7.8,2059.0
799.2,1.4,12.1,47.2,274.0,7.7,2063.6
