CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19970628 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 9.815
Integrated O3 until EOF (DU)     : 214.863
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
12.5      187.650   222.310     0.000     2.200   117.240    32.572  9000.000  9000.000   358.050   358.650     0.00000
12.6      184.800   222.450     0.000     2.314   125.230    32.852  9000.000  9000.000   359.840   360.460     0.00000
12.7      181.990   223.960     0.000     2.606   143.190    33.165  9000.000  9000.000   363.860   364.490     0.00000
12.8      179.230   223.950     0.000     2.700   150.650    33.490  9000.000  9000.000   365.440   366.080     0.00000
12.9      176.500   223.440     0.000     2.800   158.640    33.827  9000.000  9000.000   366.190   366.840     0.00000
13.0      173.820   222.510     0.000     2.807   161.510    34.167  9000.000  9000.000   366.280   366.930     0.00000
13.1      171.170   221.650     0.000     2.800   163.580    34.507  9000.000  9000.000   366.450   367.110     0.00000
13.2      168.540   221.450     0.000     2.774   164.610    34.844  9000.000  9000.000   367.740   368.410     0.00000
13.3      165.960   221.440     0.000     2.846   171.490    35.190  9000.000  9000.000   369.350   370.020     0.00000
13.4      163.430   220.990     0.000     2.765   169.170    35.527  9000.000  9000.000   370.210   370.890     0.00000
13.5      160.930   220.580     0.000     2.511   156.060    35.834  9000.000  9000.000   371.160   371.850     0.00000
13.6      158.430   219.660     0.000     2.355   148.650    36.122  9000.000  9000.000   371.250   371.950     0.00000
13.7      155.990   218.850     0.000     2.200   141.040    36.393  9000.000  9000.000   371.520   372.220     0.00000
13.8      153.570   217.820     0.000     2.100   136.750    36.653  9000.000  9000.000   371.420   372.130     0.00000
13.9      151.160   217.300     0.000     2.051   135.670    36.907  9000.000  9000.000   372.220   372.930     0.00000
14.0      148.800   216.670     0.000     2.100   141.130    37.168  9000.000  9000.000   372.800   373.520     0.00000
