CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950805 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.873
Integrated O3 until EOF (DU)     : 217.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
17.9       78.757   206.070     0.000     2.616   332.160    44.184  9000.000  9000.000   425.000   426.100     0.00000
18.0       77.468   206.390     0.000     2.818   363.800    44.551  9000.000  9000.000   427.670   428.780     0.00000
18.1       76.190   206.730     0.000     3.082   404.520    44.953  9000.000  9000.000   430.420   431.550     0.00000
18.2       74.946   207.180     0.000     3.271   436.410    45.378  9000.000  9000.000   433.380   434.520     0.00000
18.3       73.723   206.970     0.000     3.482   472.370    45.831  9000.000  9000.000   434.970   436.120     0.00000
18.4       72.520   207.550     0.000     3.560   490.900    46.293  9000.000  9000.000   438.240   439.410     0.00000
18.5       71.332   207.550     0.000     4.216   590.980    46.840  9000.000  9000.000   440.310   441.490     0.00000
18.6       70.166   208.170     0.000     5.517   786.300    47.553  9000.000  9000.000   443.700   444.900     0.00000
18.7       69.028   208.560     0.000     6.132   888.390    48.345  9000.000  9000.000   446.600   447.820     0.00000
18.8       67.900   207.750     0.000     6.300   927.840    49.162  9000.000  9000.000   446.960   448.190     0.00000
18.9       66.803   207.860     0.000     6.856  1026.300    50.050  9000.000  9000.000   449.290   450.520     0.00000
19.0       65.716   208.080     0.000     6.781  1031.900    50.927  9000.000  9000.000   451.860   453.110     0.00000
19.1       64.641   208.170     0.000     6.168   954.220    51.725  9000.000  9000.000   454.190   455.460     0.00000
19.2       63.587   208.020     0.000     6.343   997.530    52.546  9000.000  9000.000   456.000   457.270     0.00000
19.3       62.552   207.720     0.000     6.834  1092.500    53.432  9000.000  9000.000   457.480   458.770     0.00000
19.4       61.530   207.650     0.000     7.200  1170.200    54.366  9000.000  9000.000   459.460   460.770     0.00000
19.5       60.530   207.570     0.000     7.119  1176.000    55.289  9000.000  9000.000   461.430   462.750     0.00000
19.6       59.542   207.570     0.000     7.122  1196.200    56.213  9000.000  9000.000   463.610   464.940     0.00000
19.7       58.566   207.810     0.000     7.417  1266.400    57.174  9000.000  9000.000   466.340   467.680     0.00000
19.8       57.615   207.970     0.000     8.046  1396.500    58.216  9000.000  9000.000   468.880   470.240     0.00000
19.9       56.675   208.230     0.000     8.559  1510.200    59.323  9000.000  9000.000   471.660   473.040     0.00000
20.0       55.755   209.070     0.000     9.927  1780.500    60.601  9000.000  9000.000   475.770   477.170     0.00000
20.1       54.860   210.300     0.000    10.553  1923.700    61.952  9000.000  9000.000   480.810   482.230     0.00000
20.2       53.978   211.470     0.000    10.825  2005.500    63.331  9000.000  9000.000   485.700   487.140     0.00000
